ID,Sex,Researcher,SVL,TRUNK,LUS,LUZ,LUM,LUT,RUS,RUZ,RUM,RUT,LLS,LLZ,LLM,LLT,RLS,RLZ,RLM,RLT,PG,SG,HL,HH,HW,TL
Pm284,F,EG,62.94,31.67,6.03,6.89,3.02,5.75,6.35,6.57,2.86,6.41,15.06,8.87,3.37,11.97,14.13,9.61,4.34,11.93,6.82,5.83,13.81,5.82,7.3,86.31
Pm345,F,EG,56.86,29.64,5.69,6.86,2.83,6.43,5.68,6,2.72,5.85,12.92,8.57,3.49,11.11,11.52,8.11,3.87,10.79,5.92,6.01,12.71,5,6.53,54.7
Pm345,F,EG,59.52,29.48,6.06,6.53,2.83,5.99,5.82,6,2.72,6.25,13.2,8.62,3.31,11.56,12.1,8.52,3.65,10.5,6,5.57,12.86,4.69,6.33,54.12
Pm195,F,EG,70.13,36.16,7.67,8.12,2.74,NA,6.68,7.54,3.16,7.27,15.25,11.06,3.61,NA,15.41,10.52,4.22,13.07,8.35,7.43,16.88,6.43,9.07,122.68
Pm195,F,EG,70.25,36.23,7.77,7.89,2.97,NA,7.03,7.47,3.35,7.04,15.59,10.75,3.74,NA,14.93,10.32,4.11,13.24,7.7,7.52,16.64,6.53,8.79,121.4
Pm353,M,EG,72.2,37.76,7.18,7.84,3.86,7.01,6.84,7.79,3.36,8.09,17.22,11.17,4.66,13.67,15.23,11.69,4.7,13.96,8.18,7.92,16.73,6.9,9.21,144.19
Pm353,M,EG,72.02,38.65,7.04,7.87,3.82,7.2,7.01,7.8,3.32,8.14,18,10.89,4.36,13.62,15.73,11.9,4.6,14.33,8.35,7.97,16.75,6.96,9.08,145.94
Pm332,M,EG,5.79,27.32,6.2,6.48,2.79,6.81,5.59,7.03,3.02,6.72,14.93,10.02,4.08,11.54,14.49,9.88,4.07,12.61,6.74,6.36,14.76,5.25,7.99,126.92
Pm332,M,EG,5.53,28.72,6.47,6.79,2.69,6.59,5.53,7.04,2.95,7.01,14.71,9.5,4.26,11.64,14.25,9.81,3.73,12.47,6.72,6.25,14.88,5.11,7.89,126.28
Pm431,F,AH,65.98,35.7,4.79,7.04,2.73,6.58,5.57,6.76,2.48,7.64,10.72,9.78,4.36,NA,10.27,9.62,4.1,10.53,6.74,6.65,13.75,4.84,6.61,NA
Pm431,F,AH,65.91,36.72,4.47,7.1,2.96,6.63,5.77,6.62,2.52,7.22,10.56,9.54,4.33,NA,10.42,9.63,4.43,10.66,6.56,6.86,13.76,4.61,6.65,NA
Pm425,F,AH,52.14,30.1,4.2,5.86,2.72,5.72,5.15,7.01,2.5,5.54,9.58,8.76,4.25,10.1,9.43,8.51,4.5,9.59,5.92,6.51,12.22,5,6.31,84.75
Pm425,F,AH,52.12,30.34,4.14,5.97,2.4,5.59,5.29,6.86,2.52,5.51,9.54,8.71,4.23,10.03,9.18,8.51,4.4,9.47,5.94,6.51,12.12,5.09,6.1,85.1
Pm439,M,AH,63.16,31.58,5.47,7.4,3.12,6.43,5.61,8.35,2.64,7.04,11.67,10.45,4.46,NA,12.49,10.44,4.61,NA,7.25,7.8,16.56,5.7,8.65,97.35
Pm439,M,AH,62.87,32.46,5.13,7.36,3.14,6.57,5.32,8.07,2.82,6.78,11.74,10.23,4.72,NA,12.48,10.73,4.52,NA,7.75,7.84,16.45,5.76,8.81,97.92
Pm433,F,AH,58.58,30.97,5.02,6.61,2.88,NA,5.5,6.49,2.49,NA,9.93,8.49,5.67,11.59,8.8,9.27,3.87,9.95,7.45,6.47,13.01,4.89,6.92,93.61
Pm433,F,AH,58.67,32.46,4.73,6.54,2.76,NA,5.1,6.59,2.56,NA,9.76,8.5,5.64,11.84,8.95,9.18,3.73,10,7.36,6.37,12.89,4.87,7.25,94.3
Pm440,F,AH,52.94,28.42,5.36,5.66,2.13,4.4,5.07,5.48,2.1,5.54,9.7,7.54,3.79,9.34,9.32,7.66,4.4,10.55,5.92,6.37,11.4,3.76,5.11,104.56
Pm440,F,AH,53.39,27.58,5.55,5.77,2.19,4.66,4.66,5.47,2.22,5.61,9.57,7.82,3.51,9.19,9.32,7.82,4.28,10,5.99,6.31,11.33,4.07,5.2,105.66
Pm436,F,AH,59.03,28.15,5.47,6.85,2.5,6.69,5.24,6.61,3.21,6.17,10.57,8.76,4.7,10.42,10.1,9.14,4.77,10.61,6.29,6.18,12.94,4.26,6.69,112.76
Pm436,F,AH,58.52,29.3,5.37,6.7,2.67,6.32,5.15,6.47,3.19,6.31,10.83,8.36,4.69,10.89,10.01,9.07,4.67,10.68,6.62,6.3,12.89,4.24,6,115.72
Pm429,F,AH,63.24,34.31,5.61,6.88,3.19,NA,5.4,6.99,2.61,5.98,10.38,9.47,4.06,11.03,10.01,9.76,4.09,11.83,6.84,7.75,13.29,5.57,6.59,93.78
Pm429,F,AH,63.05,34.32,5.45,6.73,3.39,NA,5.61,7,2.81,6.02,10.61,9.29,4.25,11.1,10.89,9.68,4.13,11.23,6.87,7.55,13.24,5.39,6.55,96.54
Pm430,F,AH,56.31,31,4.93,6.3,2.58,5.03,5.24,6.43,2.72,5.92,10.3,9.48,4.25,NA,9.82,9.1,4.32,NA,6.68,6.53,12.5,5.25,7.26,72.29
Pm430,F,AH,56.66,30.45,4.83,6.18,2.52,5.2,5.07,6.75,2.79,5.91,9.31,9.44,4.39,NA,9.89,9.16,4.34,NA,6.42,6.3,12.69,5.62,6.9,72.38
Pm442,F,AH,58.29,29.65,5.44,5.92,2.89,NA,6.22,6.02,2.52,6.41,10.67,8.49,4.09,9.82,9.56,9.24,4.27,9.74,5.8,7.19,12.94,4.11,6.61,71.99
Pm442,F,AH,58.48,31.59,5.37,5.99,2.84,NA,6.21,6.17,2.77,6.11,10.62,8.45,4.54,9.84,9.35,9.11,4.37,9.59,5.99,7.12,12.85,4.24,6.64,71.13
Pm444,F,AH,55.03,29.2,5.1,5.99,2.72,5.87,5.25,5.98,2.49,5.78,10.05,8.38,4.05,9.6,10.24,8.04,4.19,10.78,5.95,6.26,12.72,3.84,5.58,100.47
Pm444,F,AH,55.28,30.4,4.69,5.98,2.83,5.49,5.27,5.98,2.27,5.25,9.76,8.14,4.31,9.53,10.02,8.23,4.59,10.5,5.82,6.35,12.57,3.85,5.57,101.4
Pm438,F,AH,61.49,33.42,5.06,6.22,2.54,5.44,5.81,6.11,2.82,5.92,10.35,8.96,4.57,10.22,10.51,9.2,4.29,10.04,6.22,6.8,13.63,5.17,6.83,66.67
Pm438,F,AH,62.04,33.83,5.23,6.35,2.49,5.34,5.57,6.47,2.86,5.76,10.04,9.12,4.54,10.13,10.07,9.17,4.13,10.13,6.67,6.89,13.09,4.88,6.6,66.01
Pm417,F,AH,62.54,35.62,5.46,6.97,2.93,6.51,5.81,6.99,2.65,5.22,10.82,9.66,4.36,9.76,10.71,9.5,4.76,9.96,6.54,7.25,14.17,4.67,6.94,115.42
Pm417,F,AH,60.32,34.8,5.11,6.85,2.83,6.58,5.59,7.27,2.74,5.86,10.73,9.78,4.29,9.38,10.39,9.74,4.89,10.25,6.43,7.29,13.98,4.49,6.98,114.36
Pm418,M,AH,55.19,29.2,5.46,7.2,2.84,6.2,5.18,6.4,2.49,6.33,11.79,9.77,4.18,12.02,11.96,9.27,4.31,11.85,5.23,6.9,14.07,4.55,7.6,60.85
Pm418,M,AH,55.1,28.72,5.26,7.01,2.93,5.8,5.5,6.39,2.55,6.35,12.02,9.74,4.2,12.07,11.94,9.17,4.35,11.72,5.8,6.86,13.87,4.53,7.64,61.57
Pm426,M,AH,52.38,26.16,5.15,7.01,2.33,5.92,5.37,6.18,2.25,5.39,11.46,8.97,4.02,10.31,10.46,9.13,4.48,10.96,6.46,6.44,13.14,4.76,6.31,106.73
Pm426,M,AH,52.98,25.85,4.96,6.79,2.35,5.99,5.66,6.2,2.3,5.37,11.23,8.94,4.06,10.43,10.43,9.08,4.36,11.03,6.85,6.69,13.4,5.09,6.31,107.22
Pm434,M,AH,68.78,31.09,5.23,7.86,3.14,7.37,5.11,7.86,3.08,6.52,13.34,11.05,5.21,NA,13.73,11.93,5.31,12.39,8.39,8.27,16.82,6.53,9.03,112.82
